0 0 0,0 1,0 2,0 3,0 4,0 5,0 6,0 7,0
1 0 0,1 0,0 1,0 2,0 3,0 4,0 5,0 6,0
2 0 0,1 0,0 1,0 2,0 3,0 4,0 5,0 6,0
3 0 0,1 0,0 1,0 2,0 3,0 4,0 5,0 6,0
4 0 1,1 0,1 0,0 1,0 2,0 3,0 4,0 5,0
5 0 1,2 1,1 0,1 0,0 1,0 2,0 3,0 4,0
6 0 2,2 1,2 1,1 0,1 0,0 1,0 2,0 3,0
7 0 3,2 2,2 1,2 1,1 0,1 0,0 1,0 2,0
8 0 2,2 1,2 1,1 0,1 0,0 1,0 2,0 2,1
9 0 2,2 1,2 1,1 0,1 0,0 1,0 2,0 2,1
10 0 2,1 2,2 1,2 1,1 0,1 0,0 1,0 2,0
11 0 2,1 2,2 1,2 1,1 0,1 0,0 1,0 2,0
12 0 2,1 2,2 1,2 1,1 0,1 0,0 1,0 2,0
13 0 2,1 2,2 1,2 1,1 0,1 0,0 1,0 2,0
14 0 2,0 2,1 2,2 1,2 1,1 0,1 0,0 1,0
15 0 2,1 2,2 1,2 1,1 0,1 0,0 1,0 1,-1
16 0 2,2 1,2 1,1 0,1 0,0 1,0 1,-1 2,-1
17 0 1,2 1,1 0,1 0,0 1,0 1,-1 2,-1 2,0
18 0 1,2 1,1 0,1 0,0 1,0 1,-1 2,-1 2,0
19 0 1,2 1,1 0,1 0,0 1,0 1,-1 2,-1 2,0
20 0 1,2 1,1 0,1 0,0 1,0 1,-1 2,-1 2,0
21 0 1,2 1,1 0,1 0,0 1,0 1,-1 2,-1 2,0
22 0 2,2 1,2 1,1 0,1 0,0 1,0 1,-1 2,-1
23 0 2,2 1,2 1,1 0,1 0,0 1,0 1,-1 2,-1
24 0 2,2 1,2 1,1 0,1 0,0 1,0 1,-1 2,-1
25 0 3,2 2,2 1,2 1,1 0,1 0,0 1,0 1,-1
26 0 2,2 1,2 1,1 0,1 0,0 1,0 1,-1 2,-1
27 0 3,2 2,2 1,2 1,1 0,1 0,0 1,0 1,-1
28 0 2,2 1,2 1,1 0,1 0,0 1,0 1,-1 1,-2
29 0 2,2 1,2 1,1 0,1 0,0 1,0 1,-1 1,-2
30 0 3,2 2,2 1,2 1,1 0,1 0,0 1,0 1,-1
31 0 3,1 3,2 2,2 1,2 1,1 0,1 0,0 1,0
32 0 3,1 3,2 2,2 1,2 1,1 0,1 0,0 1,0
33 0 3,1 3,2 2,2 1,2 1,1 0,1 0,0 1,0
34 0 3,1 3,2 2,2 1,2 1,1 0,1 0,0 1,0
35 0 3,1 3,2 2,2 1,2 1,1 0,1 0,0 1,0
36 0 3,1 3,2 2,2 1,2 1,1 0,1 0,0 1,0
37 0 2,1 3,1 3,2 2,2 1,2 1,1 0,1 0,0
38 0 3,1 3,2 2,2 1,2 1,1 0,1 0,0 1,0
39 0 4,1 3,1 3,2 2,2 1,2 1,1 0,1 0,0
40 0 5,1 4,1 3,1 3,2 2,2 1,2 1,1 0,1
41 0 5,1 4,1 3,1 3,2 2,2 1,2 1,1 0,1
42 0 4,1 3,1 3,2 2,2 1,2 1,1 0,1 0,2
43 0 4,0 4,1 3,1 3,2 2,2 1,2 1,1 0,1
44 0 4,1 3,1 3,2 2,2 1,2 1,1 0,1 -1,1
45 0 4,2 4,1 3,1 3,2 2,2 1,2 1,1 0,1
46 0 4,2 4,1 3,1 3,2 2,2 1,2 1,1 0,1
47 0 4,1 3,1 3,2 2,2 1,2 1,1 0,1 0,2
48 0 4,0 4,1 3,1 3,2 2,2 1,2 1,1 0,1
49 0 4,0 4,1 3,1 3,2 2,2 1,2 1,1 0,1
50 0 3,0 4,0 4,1 3,1 3,2 2,2 1,2 1,1
51 0 4,0 4,1 3,1 3,2 2,2 1,2 1,1 1,0
52 0 4,0 4,1 3,1 3,2 2,2 1,2 1,1 1,0
53 0 5,0 4,0 4,1 3,1 3,2 2,2 1,2 1,1
54 0 5,1 5,0 4,0 4,1 3,1 3,2 2,2 1,2
55 0 5,0 4,0 4,1 3,1 3,2 2,2 1,2 0,2
56 0 5,1 5,0 4,0 4,1 3,1 3,2 2,2 1,2
57 0 5,2 5,1 5,0 4,0 4,1 3,1 3,2 2,2
58 0 5,1 5,0 4,0 4,1 3,1 3,2 2,2 1,2
59 0 6,1 5,1 5,0 4,0 4,1 3,1 3,2 2,2
60 0 7,1 6,1 5,1 5,0 4,0 4,1 3,1 3,2
61 0 6,1 5,1 5,0 4,0 4,1 3,1 3,2 2,2
62 0 5,1 5,0 4,0 4,1 3,1 3,2 2,2 2,3
63 0 5,0 4,0 4,1 3,1 3,2 2,2 2,3 2,4
64 0 4,0 4,1 3,1 3,2 2,2 2,3 2,4 3,4
65 0 4,1 3,1 3,2 2,2 2,3 2,4 3,4 3,3
66 0 4,2 4,1 3,1 3,2 2,2 2,3 2,4 3,4
67 0 4,3 4,2 4,1 3,1 3,2 2,2 2,3 2,4
68 0 4,3 4,2 4,1 3,1 3,2 2,2 2,3 2,4
69 0 5,3 4,3 4,2 4,1 3,1 3,2 2,2 2,3
70 0 4,3 4,2 4,1 3,1 3,2 2,2 2,3 2,4
71 0 4,3 4,2 4,1 3,1 3,2 2,2 2,3 2,4
72 0 4,2 4,1 3,1 3,2 2,2 2,3 2,4 3,4
73 0 4,3 4,2 4,1 3,1 3,2 2,2 2,3 2,4
74 0 4,3 4,2 4,1 3,1 3,2 2,2 2,3 2,4
75 0 4,2 4,1 3,1 3,2 2,2 2,3 2,4 2,5
76 0 4,1 3,1 3,2 2,2 2,3 2,4 2,5 1,5
77 0 4,1 3,1 3,2 2,2 2,3 2,4 2,5 1,5
78 0 4,1 3,1 3,2 2,2 2,3 2,4 2,5 1,5
79 0 3,1 3,2 2,2 2,3 2,4 2,5 1,5 1,6
80 0 2,1 3,1 3,2 2,2 2,3 2,4 2,5 1,5
81 0 1,1 2,1 3,1 3,2 2,2 2,3 2,4 2,5
82 0 1,0 1,1 2,1 3,1 3,2 2,2 2,3 2,4
83 0 1,1 2,1 3,1 3,2 2,2 2,3 2,4 2,5
84 0 1,1 2,1 3,1 3,2 2,2 2,3 2,4 2,5
85 0 2,1 3,1 3,2 2,2 2,3 2,4 2,5 3,5
86 0 3,1 3,2 2,2 2,3 2,4 2,5 3,5 4,5
87 0 3,0 3,1 3,2 2,2 2,3 2,4 2,5 3,5
88 0 3,-1 3,0 3,1 3,2 2,2 2,3 2,4 2,5
89 0 3,0 3,1 3,2 2,2 2,3 2,4 2,5 1,5
90 0 2,0 3,0 3,1 3,2 2,2 2,3 2,4 2,5
91 0 3,0 3,1 3,2 2,2 2,3 2,4 2,5 2,6
92 0 3,1 3,2 2,2 2,3 2,4 2,5 2,6 2,7
93 0 3,2 2,2 2,3 2,4 2,5 2,6 2,7 2,8
94 0 2,2 2,3 2,4 2,5 2,6 2,7 2,8 1,8
95 0 2,3 2,4 2,5 2,6 2,7 2,8 1,8 0,8
96 0 2,4 2,5 2,6 2,7 2,8 1,8 0,8 0,7
97 0 2,4 2,5 2,6 2,7 2,8 1,8 0,8 0,7
98 0 2,5 2,6 2,7 2,8 1,8 0,8 0,7 0,6
99 0 3,5 2,5 2,6 2,7 2,8 1,8 0,8 0,7
100 0 4,5 3,5 2,5 2,6 2,7 2,8 1,8 0,8
101 0 3,5 2,5 2,6 2,7 2,8 1,8 0,8 -1,8
102 0 3,6 3,5 2,5 2,6 2,7 2,8 1,8 0,8
103 0 3,6 3,5 2,5 2,6 2,7 2,8 1,8 0,8
104 0 3,5 2,5 2,6 2,7 2,8 1,8 0,8 0,9
105 0 2,5 2,6 2,7 2,8 1,8 0,8 0,9 1,9
106 0 2,5 2,6 2,7 2,8 1,8 0,8 0,9 1,9
107 0 1,5 2,5 2,6 2,7 2,8 1,8 0,8 0,9
108 0 1,4 1,5 2,5 2,6 2,7 2,8 1,8 0,8
109 0 1,4 1,5 2,5 2,6 2,7 2,8 1,8 0,8
110 0 0,4 1,4 1,5 2,5 2,6 2,7 2,8 1,8
111 0 0,4 1,4 1,5 2,5 2,6 2,7 2,8 1,8
112 0 0,5 0,4 1,4 1,5 2,5 2,6 2,7 2,8
113 0 0,6 0,5 0,4 1,4 1,5 2,5 2,6 2,7
114 0 0,6 0,5 0,4 1,4 1,5 2,5 2,6 2,7
115 0 -1,6 0,6 0,5 0,4 1,4 1,5 2,5 2,6
116 0 0,6 0,5 0,4 1,4 1,5 2,5 2,6 1,6
117 0 0,6 0,5 0,4 1,4 1,5 2,5 2,6 1,6
118 0 0,5 0,4 1,4 1,5 2,5 2,6 1,6 1,7
119 0 0,6 0,5 0,4 1,4 1,5 2,5 2,6 1,6
120 0 0,6 0,5 0,4 1,4 1,5 2,5 2,6 1,6
121 0 -1,6 0,6 0,5 0,4 1,4 1,5 2,5 2,6
122 0 -1,6 0,6 0,5 0,4 1,4 1,5 2,5 2,6
123 0 0,6 0,5 0,4 1,4 1,5 2,5 2,6 1,6
124 0 1,6 0,6 0,5 0,4 1,4 1,5 2,5 2,6
125 0 1,7 1,6 0,6 0,5 0,4 1,4 1,5 2,5
126 0 1,8 1,7 1,6 0,6 0,5 0,4 1,4 1,5
127 0 1,9 1,8 1,7 1,6 0,6 0,5 0,4 1,4
128 0 1,8 1,7 1,6 0,6 0,5 0,4 1,4 1,3
129 0 1,7 1,6 0,6 0,5 0,4 1,4 1,3 2,3
130 0 1,6 0,6 0,5 0,4 1,4 1,3 2,3 2,4
131 0 2,6 1,6 0,6 0,5 0,4 1,4 1,3 2,3
132 0 1,6 0,6 0,5 0,4 1,4 1,3 2,3 2,2
133 0 0,6 0,5 0,4 1,4 1,3 2,3 2,2 3,2
134 0 -1,6 0,6 0,5 0,4 1,4 1,3 2,3 2,2
135 0 0,6 0,5 0,4 1,4 1,3 2,3 2,2 3,2
136 0 -1,6 0,6 0,5 0,4 1,4 1,3 2,3 2,2
137 0 0,6 0,5 0,4 1,4 1,3 2,3 2,2 1,2
138 0 0,6 0,5 0,4 1,4 1,3 2,3 2,2 1,2
139 0 0,6 0,5 0,4 1,4 1,3 2,3 2,2 1,2
140 0 0,6 0,5 0,4 1,4 1,3 2,3 2,2 1,2
141 0 -1,6 0,6 0,5 0,4 1,4 1,3 2,3 2,2
142 0 -1,6 0,6 0,5 0,4 1,4 1,3 2,3 2,2
143 0 -2,6 -1,6 0,6 0,5 0,4 1,4 1,3 2,3
144 0 -2,6 -1,6 0,6 0,5 0,4 1,4 1,3 2,3
145 0 -1,6 0,6 0,5 0,4 1,4 1,3 2,3 2,4
146 0 -1,6 0,6 0,5 0,4 1,4 1,3 2,3 2,4
147 0 -1,6 0,6 0,5 0,4 1,4 1,3 2,3 2,4
148 0 -1,6 0,6 0,5 0,4 1,4 1,3 2,3 2,4
149 0 0,6 0,5 0,4 1,4 1,3 2,3 2,4 3,4
150 0 0,7 0,6 0,5 0,4 1,4 1,3 2,3 2,4
151 0 1,7 0,7 0,6 0,5 0,4 1,4 1,3 2,3
152 0 2,7 1,7 0,7 0,6 0,5 0,4 1,4 1,3
153 0 2,8 2,7 1,7 0,7 0,6 0,5 0,4 1,4
154 0 2,7 1,7 0,7 0,6 0,5 0,4 1,4 1,3
155 0 2,7 1,7 0,7 0,6 0,5 0,4 1,4 1,3
156 0 2,7 1,7 0,7 0,6 0,5 0,4 1,4 1,3
157 0 1,7 0,7 0,6 0,5 0,4 1,4 1,3 2,3
158 0 2,7 1,7 0,7 0,6 0,5 0,4 1,4 1,3
159 0 2,7 1,7 0,7 0,6 0,5 0,4 1,4 1,3
160 0 2,8 2,7 1,7 0,7 0,6 0,5 0,4 1,4
161 0 2,9 2,8 2,7 1,7 0,7 0,6 0,5 0,4
162 0 1,9 2,9 2,8 2,7 1,7 0,7 0,6 0,5
163 0 0,9 1,9 2,9 2,8 2,7 1,7 0,7 0,6
164 0 1,9 2,9 2,8 2,7 1,7 0,7 0,6 0,5
165 0 1,9 2,9 2,8 2,7 1,7 0,7 0,6 0,5
166 0 1,10 1,9 2,9 2,8 2,7 1,7 0,7 0,6
167 0 1,9 2,9 2,8 2,7 1,7 0,7 0,6 0,5
168 0 2,9 2,8 2,7 1,7 0,7 0,6 0,5 0,4
169 0 2,8 2,7 1,7 0,7 0,6 0,5 0,4 0,3
170 0 3,8 2,8 2,7 1,7 0,7 0,6 0,5 0,4
171 0 2,8 2,7 1,7 0,7 0,6 0,5 0,4 0,3
172 0 1,8 2,8 2,7 1,7 0,7 0,6 0,5 0,4
173 0 2,8 2,7 1,7 0,7 0,6 0,5 0,4 0,3
174 0 1,8 2,8 2,7 1,7 0,7 0,6 0,5 0,4
175 0 2,8 2,7 1,7 0,7 0,6 0,5 0,4 0,3
176 0 2,8 2,7 1,7 0,7 0,6 0,5 0,4 0,3
177 0 2,7 1,7 0,7 0,6 0,5 0,4 0,3 -1,3
178 0 2,6 2,7 1,7 0,7 0,6 0,5 0,4 0,3
179 0 2,7 1,7 0,7 0,6 0,5 0,4 0,3 -1,3
180 0 2,6 2,7 1,7 0,7 0,6 0,5 0,4 0,3
181 0 2,6 2,7 1,7 0,7 0,6 0,5 0,4 0,3
182 0 2,7 1,7 0,7 0,6 0,5 0,4 0,3 0,2
183 0 2,7 1,7 0,7 0,6 0,5 0,4 0,3 0,2
184 0 1,7 0,7 0,6 0,5 0,4 0,3 0,2 1,2
185 0 1,6 1,7 0,7 0,6 0,5 0,4 0,3 0,2
186 0 1,6 1,7 0,7 0,6 0,5 0,4 0,3 0,2
187 0 1,7 0,7 0,6 0,5 0,4 0,3 0,2 0,1
188 0 0,7 0,6 0,5 0,4 0,3 0,2 0,1 -1,1
189 0 0,6 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2
190 0 0,6 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2
191 0 0,6 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2
192 0 0,6 0,5 0,4 0,3 0,2 0,1 -1,1 -1,2
193 0 0,7 0,6 0,5 0,4 0,3 0,2 0,1 -1,1
194 0 1,7 0,7 0,6 0,5 0,4 0,3 0,2 0,1
195 0 1,7 0,7 0,6 0,5 0,4 0,3 0,2 0,1
196 0 0,7 0,6 0,5 0,4 0,3 0,2 0,1 0,0
197 0 0,7 0,6 0,5 0,4 0,3 0,2 0,1 0,0
198 0 0,7 0,6 0,5 0,4 0,3 0,2 0,1 0,0
199 0 0,6 0,5 0,4 0,3 0,2 0,1 0,0 0,-1
200 0 0,6 0,5 0,4 0,3 0,2 0,1 0,0 0,-1
201 0 -1,6 0,6 0,5 0,4 0,3 0,2 0,1 0,0
202 0 0,6 0,5 0,4 0,3 0,2 0,1 0,0 -1,0
203 0 0,5 0,4 0,3 0,2 0,1 0,0 -1,0 -1,-1
204 0 0,4 0,3 0,2 0,1 0,0 -1,0 -1,-1 -2,-1
205 0 -1,4 0,4 0,3 0,2 0,1 0,0 -1,0 -1,-1
206 0 -1,4 0,4 0,3 0,2 0,1 0,0 -1,0 -1,-1
207 0 -1,4 0,4 0,3 0,2 0,1 0,0 -1,0 -1,-1
208 0 -1,5 -1,4 0,4 0,3 0,2 0,1 0,0 -1,0
209 0 -1,6 -1,5 -1,4 0,4 0,3 0,2 0,1 0,0
210 0 0,6 -1,6 -1,5 -1,4 0,4 0,3 0,2 0,1
211 0 0,6 -1,6 -1,5 -1,4 0,4 0,3 0,2 0,1
212 0 1,6 0,6 -1,6 -1,5 -1,4 0,4 0,3 0,2
213 0 0,6 -1,6 -1,5 -1,4 0,4 0,3 0,2 0,1
214 0 -1,6 -1,5 -1,4 0,4 0,3 0,2 0,1 1,1
215 0 -1,5 -1,4 0,4 0,3 0,2 0,1 1,1 1,2
216 0 -1,4 0,4 0,3 0,2 0,1 1,1 1,2 1,3
217 0 -1,4 0,4 0,3 0,2 0,1 1,1 1,2 1,3
218 0 -1,4 0,4 0,3 0,2 0,1 1,1 1,2 1,3
219 0 0,4 0,3 0,2 0,1 1,1 1,2 1,3 1,4
220 0 0,4 0,3 0,2 0,1 1,1 1,2 1,3 1,4
221 0 -1,4 0,4 0,3 0,2 0,1 1,1 1,2 1,3
222 0 -1,4 0,4 0,3 0,2 0,1 1,1 1,2 1,3
223 0 -1,4 0,4 0,3 0,2 0,1 1,1 1,2 1,3
224 0 -1,5 -1,4 0,4 0,3 0,2 0,1 1,1 1,2
225 0 -2,5 -1,5 -1,4 0,4 0,3 0,2 0,1 1,1
226 0 -2,6 -2,5 -1,5 -1,4 0,4 0,3 0,2 0,1
227 0 -2,5 -1,5 -1,4 0,4 0,3 0,2 0,1 -1,1
228 0 -2,5 -1,5 -1,4 0,4 0,3 0,2 0,1 -1,1
229 0 -1,5 -1,4 0,4 0,3 0,2 0,1 -1,1 -1,2
230 0 -1,4 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3
231 0 -1,4 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3
232 0 -1,4 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3
233 0 -1,4 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3
234 0 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3 -1,4
235 0 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3 -1,4
236 0 -1,4 0,4 0,3 0,2 0,1 -1,1 -1,2 -1,3
